DOID_0050425,[]
DOID_0050432,[]
DOID_0050567,[]
DOID_0050651,[]
DOID_0050742,[]
DOID_0050864,[]
DOID_0050873,[]
DOID_0060172,[]
DOID_0060250,[]
DOID_0080074,[]
DOID_0080780,[]
DOID_1024,[]
DOID_10457,[]
DOID_10487,[]
DOID_10608,[]
DOID_10652,[]
DOID_10754,[]
DOID_1094,[]
DOID_1123,[]
DOID_11335,[]
DOID_12129,[]
DOID_12205,[]
DOID_12361,[]
DOID_12365,[]
DOID_12554,[]
DOID_12849,[]
DOID_1312,[]
DOID_13544,[]
DOID_13564,[]
DOID_13884,[]
DOID_14004,[]
DOID_14330,[]
DOID_1558,[]
DOID_1793,[]
DOID_1825,[]
DOID_1827,[]
DOID_1883,[]
DOID_1909,[]
DOID_2214,[]
DOID_2340,[]
DOID_2377,[]
DOID_2513,[]
DOID_2841,[]
DOID_289,[]
DOID_2986,[]
DOID_302,[]
DOID_3070,[]
DOID_3302,[]
DOID_3312,[]
DOID_332,[]
DOID_3393,[]
DOID_417,[]
DOID_4428,[]
DOID_4586,[]
DOID_4752,[]
DOID_4890,[]
DOID_4972,[]
DOID_5052,[]
DOID_540,[]
DOID_5683,[]
DOID_580,[]
DOID_5844,[]
DOID_635,[]
DOID_6364,[]
DOID_6432,[]
DOID_769,[]
DOID_811,[]
DOID_8398,[]
DOID_8469,[]
DOID_8545,[]
DOID_8632,[]
DOID_8689,[]
DOID_8893,[]
DOID_8923,[]
DOID_9008,[]
DOID_9074,[]
DOID_9256,[]
DOID_9261,[]
DOID_9452,[]
DOID_9952,[]
